Sample,Maximum_Recording,Day,Positive peak,Negative peak,Intensity
7001.0,2.0,0.0,0.19,0.09,10.712435446230117
7001.0,2.0,1.0,0.25,0.11,7.995936071351466
7001.0,2.0,2.0,0.28,0.13,17.25518592089454
7002.0,2.0,0.0,0.15,0.04,10.046523065687012
7002.0,2.0,1.0,0.21,0.11,9.098804800240494
7002.0,2.0,2.0,0.3,0.14,17.861375883964357
7003.0,3.0,0.0,0.18,0.05,10.690325071481283
7003.0,3.0,1.0,0.21,0.09,8.605133968362694
7003.0,3.0,2.0,0.24,0.14,7.358050392074283
7003.0,3.0,3.0,0.35,0.16,20.79744420094707
7004.0,2.0,0.0,0.18,0.08,9.973891192754301
7004.0,2.0,1.0,0.16,0.05,9.213630344780299
7004.0,2.0,2.0,0.34,0.16,20.25554055721296
7005.0,3.0,0.0,0.16,0.09,10.992204839111146
7005.0,3.0,1.0,0.15,0.08,9.362122846971644
7005.0,3.0,2.0,0.29,0.09,9.808238438998373
7005.0,3.0,3.0,0.34,0.06,10.793652190245972
7006.0,3.0,0.0,0.18,0.08,10.019938855075857
7006.0,3.0,1.0,0.12,0.05,8.192642515444795
7006.0,3.0,2.0,0.4,0.08,7.9137011307057605
7006.0,3.0,3.0,0.38,0.16,14.669741373811675
7007.0,3.0,0.0,0.18,0.08,10.208592858805787
7007.0,3.0,1.0,0.16,0.07,10.284624565736422
7007.0,3.0,2.0,0.2,0.09,10.480448173712062
7007.0,3.0,3.0,0.36,0.16,9.011371693863545
7008.0,3.0,0.0,0.14,0.07,9.301971713118562
7008.0,3.0,1.0,0.33,0.15,11.79068551765264
7008.0,3.0,2.0,0.18,0.08,10.26670551258529
7008.0,3.0,3.0,0.35,0.16,15.223671082336843
7009.0,3.0,0.0,0.19,0.08,12.508201866271449
7009.0,3.0,1.0,0.32,0.12,10.359100785019969
7009.0,3.0,2.0,0.17,0.08,8.684142396750985
7009.0,3.0,3.0,0.32,0.14,9.728959016820504
7010.0,2.0,0.0,0.15,0.04,9.086554505537613
7010.0,2.0,1.0,0.13,0.06,8.175462395236686
7010.0,2.0,2.0,0.23,0.1,12.395318524585328
7011.0,3.0,0.0,0.16,0.08,10.815383324958319
7011.0,3.0,1.0,0.27,0.1,9.11121359809622
7011.0,3.0,2.0,0.22,0.09,8.04890963155411
7011.0,3.0,3.0,0.34,0.16,20.034814970493315
7012.0,3.0,0.0,0.11,0.08,8.40036143290439
7012.0,3.0,1.0,0.25,0.05500000000000001,9.712733122907501
7012.0,3.0,2.0,0.11,0.06,11.15999349458162
7012.0,3.0,3.0,0.26,0.06,9.379386540884056
7013.0,3.0,0.0,0.12,0.06,8.618938603801418
7013.0,3.0,1.0,0.16,0.07,10.793471223551983
7013.0,3.0,2.0,0.08,0.04,9.39030548353226
7013.0,3.0,3.0,0.35,0.15,15.636519688862748
7014.0,3.0,0.0,0.12,0.07,7.5772951150181385
7014.0,3.0,1.0,0.21,0.12,9.528360419326752
7014.0,3.0,2.0,0.13,0.07,8.344879257301713
7014.0,3.0,3.0,0.31,0.14,14.018984521992039
7015.0,2.0,0.0,0.12,0.06,8.938860389611882
7015.0,2.0,1.0,0.19,0.08,10.733480437156913
7015.0,2.0,2.0,0.31,0.15,20.780928783963297
7016.0,2.0,0.0,0.14,0.09,9.42394600883123
7016.0,2.0,1.0,0.32,0.06,9.885371737280096
7016.0,2.0,2.0,0.1,0.04,9.742464009926984
7017.0,1.0,0.0,0.15,0.07,10.305674872629687
7017.0,1.0,1.0,0.2,0.11,9.042916112093458
7018.0,2.0,0.0,0.3,0.08,9.236392239366985
7018.0,2.0,1.0,0.26,0.07,8.54552228913407
7018.0,2.0,2.0,0.35,0.16,18.40919823352874
7019.0,2.0,0.0,0.31,0.07,6.64848925983727
7019.0,2.0,1.0,0.34,0.06,10.591411880752872
7019.0,2.0,2.0,0.32,0.15,17.510107822405125
7020.0,3.0,0.0,0.12,0.08,9.471287343615835
7020.0,3.0,1.0,0.27,0.12,9.168519753392722
7020.0,3.0,2.0,0.14,0.06,11.498003397395031
