Label,Sample,Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Healthy,0,3,-52.81875470427085,-52.97208625500378,-53.699683764122675,-53.95425008108258,-52.29926405672934,-51.59419277340415,-52.62788368216482,-52.61769780095477,-51.06760038998364,-51.42750571176201,-53.10307769345129,-55.01866728497404,-53.58816306883094,-51.81911373056454,-51.60118347388631,-51.77639530897408,-55.157669320433946,-54.288327064982184,-54.027642348890936,-52.833484615191765,-51.61150052756048,-51.98322020628155,-54.89260780855663,-52.391525175181556,-52.32902086064062,-54.19039538180226,-55.3854746038552,-55.247507575902446,-54.64366904683955,-54.039334862716935,-53.11711817542107,-53.41568281779641,-52.48208133975573,-52.05173385533758,-53.62529219945071,-57.6984308641464,-54.655767887233864,-55.0587285871658,-56.297476904376865,-53.886315390174374,-53.53878347710533,-54.700737520175444,-54.51037394102731,-54.227304823556686,-54.67212087317677,-52.7241624421724,-53.21244318386134,-53.4392642304556,-53.36647894890973,-53.24961818059429,-53.55295611359425,-55.61349802180502
Healthy,0,2,-53.382698435829816,-53.267934423485954,-54.1980735910914,-54.750720320077384,-53.27415782352742,-52.24164273161823,-53.5859425035885,-52.76158043950338,-51.247745231797246,-52.38979206030808,-52.59489346008698,-52.961555019632854,-53.667294043122055,-53.32263778851563,-53.16681796016323,-53.760361398165614,-54.129487306307844,-54.6129135084237,-55.483501253774506,-55.97060886974096,-54.66742713181711,-54.72568672504144,-55.8696901899009,-54.36538230097321,-53.92401071573856,-54.50944888403985,-55.31832034086834,-55.495982904114314,-56.0457115427944,-54.978621695806424,-53.985812720313106,-54.791439313049175,-54.849464899308856,-54.97627017478534,-56.33955144672055,-57.1683499960198,-58.94385669321963,-58.53123034484791,-56.40315994135652,-55.357634949554665,-55.072039339090075,-55.9760661211878,-56.5068176133171,-56.99952733812917,-57.29112284124624,-55.72391038249626,-56.35139765858941,-55.979647393021935,-54.68937000550057,-54.79496784991498,-55.062736988332986,-55.483896026356845
Healthy,0,1,-52.76027405178085,-52.8824166091684,-54.00118771913371,-54.52490602121927,-53.19495399337092,-51.828634291131415,-52.049810963142605,-52.035776254878044,-50.607234645289324,-51.59640258388785,-52.13027483517835,-53.07867657628507,-54.24970651140417,-52.80852875282825,-53.07078622233034,-52.60962107458984,-53.46826081043112,-54.01316619265365,-54.64783809356331,-55.16953651759774,-53.87455455320492,-54.068366076153325,-54.642298200515455,-54.25947688744272,-54.100780220716274,-55.23120044967453,-55.918433446420906,-56.86588265239291,-56.70953666110418,-57.16678485551168,-57.2822182801987,-56.68301033509699,-55.89779702500701,-56.836101206342434,-58.6481503843473,-58.111287796524294,-58.210331149076985,-57.49196887505918,-56.12428710710729,-54.76448026866926,-54.96963340090608,-55.90853706971749,-55.57321227380821,-56.125957649827704,-55.741073279194026,-54.473942739003974,-55.10582446602931,-55.4195822141113,-54.90391977603453,-55.08054295479755,-56.09066929311412,-58.23834454054284
Healthy,1,1,-52.77763407297718,-52.7411655587073,-53.856014611257365,-53.68959969373108,-51.94664886584658,-51.175276548064346,-54.10884809354709,-51.22824494171377,-49.80253657452543,-51.75235089211715,-52.298905716226926,-52.92782283485188,-51.931877439047085,-50.68658337066929,-51.01923611712165,-52.537569466218834,-54.46090436944942,-55.76433319886871,-53.350937313210196,-50.84556999997619,-50.68693282876259,-51.31773912706038,-52.150282866281486,-51.68382157041783,-51.469177191576215,-52.61139987619139,-53.279298435538394,-53.127463863748794,-54.24294026541251,-54.45473371495552,-53.504998082053554,-53.0143628907672,-53.22557844664858,-53.231514758771226,-53.03560859456173,-53.50867982859281,-52.97204597061908,-53.560201493438775,-53.15925810799618,-52.79634411030084,-53.641658385229135,-55.35771818209505,-55.268358774932274,-54.68547087660281,-53.98891873252726,-53.70946574517816,-54.56352353550008,-56.03638571185485,-56.607468618922894,-56.70832170604502,-54.739290160595104,-53.34026755819511
Healthy,1,3,-54.48507055649232,-53.89858878999371,-54.596153896284775,-55.487696621679135,-54.58796545278312,-52.55478282915433,-54.702073561015006,-55.0724828595593,-52.64158449075744,-54.8579513868215,-54.25262670183217,-55.09701759010278,-53.31579138222373,-53.17919031927068,-54.45188012549973,-54.714800395024795,-56.29929524570895,-58.818714723044046,-55.60622131032369,-53.399655495668426,-53.69071676308909,-55.2728434276776,-55.70267970597209,-52.70571609068565,-51.93377707818318,-53.1655684332413,-54.74654976718557,-56.10295525410074,-57.17622979260261,-57.99567153547483,-56.76869090557743,-55.887963881328076,-55.60393856480459,-56.432780638755766,-57.30266886216793,-57.754161976335645,-56.70254372563224,-56.764116136440265,-57.33098752364468,-56.9957970734022,-58.402223681955036,-58.94965946715231,-57.6824836486379,-57.65146722646857,-57.40951665603877,-57.882609811915096,-57.89168781086949,-60.60881930192729,-60.245055692032885,-58.858731023874604,-59.08038964707025,-57.443749131054176
Healthy,1,2,-52.91782321327153,-52.78481591138331,-53.792031899436495,-53.96902142584162,-52.05333872701749,-50.96698828796916,-53.10955914390903,-51.85036809929599,-50.24277050305054,-52.02315551600315,-52.58584642509305,-53.21002672611336,-53.18133940519694,-51.57379803848787,-52.567489428038215,-54.910111338268386,-54.87902489254012,-55.85067961432115,-52.94747860610826,-50.94598110333439,-51.24029368162767,-51.99681293860551,-54.185823253598954,-52.705391539105136,-51.88501757717107,-52.82118839173477,-53.35440079867985,-53.479937471493166,-55.39476389077309,-57.34123536135567,-56.54200964457551,-54.98741846939487,-54.11367865813033,-53.38021185188378,-54.17610119991246,-55.45850578669538,-55.07740925710533,-55.27786897369994,-55.654503830262954,-55.72596334454063,-55.72283876083908,-56.9471603887738,-56.151330209976095,-54.32087893017738,-53.724938019246565,-53.59417414613067,-53.39367475094118,-53.8910443616675,-54.562042088655716,-55.03257711673442,-56.06341206546425,-58.012619091817484
Healthy,2,1,-52.063028870005226,-52.2986633585774,-52.93044912754303,-52.4428983055748,-51.28555225710464,-51.011376400969155,-54.284170272076395,-50.35148176801707,-49.060850720453715,-51.441346032977584,-52.438286810283785,-53.3578246437926,-50.92553060374215,-50.01726620733627,-50.50238979375131,-50.58603126638889,-51.57598413532159,-53.163605449610245,-54.30780216953582,-52.947510046408766,-51.33431730546404,-51.465502268330596,-52.98770028850514,-50.52820919879746,-49.71771047295526,-50.81435697181328,-51.58058628139096,-52.702791953437604,-53.786069743431185,-53.88989035976225,-53.70034730091075,-53.831224335869486,-53.073071782764956,-54.17732648864592,-56.92506157939043,-54.83925804289573,-52.844733588436945,-53.71078018616673,-54.13144804176099,-52.981773458147174,-53.39386171620291,-54.35233708459237,-54.021517291002475,-53.28982407753181,-55.09429155236881,-55.44517441085926,-54.29484713995738,-56.532337722481856,-57.26610325694662,-56.52071513078521,-56.24316310782178,-55.43658618728977
Healthy,2,3,-55.17579495041248,-55.807954235806434,-57.09669914583378,-58.16305425095188,-56.184732146790424,-56.39997988915884,-57.00056020129389,-53.34505566608666,-51.307612175961594,-55.14605552453251,-52.05504326573541,-52.69453936082595,-51.58670518653131,-52.27517360471471,-54.478689543348,-54.440813911554145,-53.19099902409271,-54.07564473888514,-56.058021611459694,-57.221813864385425,-54.64068504235041,-54.71227395329223,-55.09456347979131,-55.36149038555938,-54.38042704956797,-55.988097631504004,-57.51750757480639,-59.270816119835715,-59.54202285303076,-58.036966941914095,-57.12999698287963,-57.5417706789949,-57.56482109828282,-60.26230196159499,-58.15445872913372,-58.80258550657251,-58.30765789046835,-59.851146979643595,-57.080198108807174,-56.70910554808845,-55.31587179667835,-55.52208607328321,-54.964199139340685,-55.93544033590241,-58.44462980363875,-58.49096230676477,-57.42432466936344,-59.259225580181806,-57.997556963175825,-58.41199329298294,-58.16675176878298,-58.97078541640231
Healthy,2,2,-52.37209654885576,-52.63642722281286,-52.89387472369931,-52.455476756023565,-51.41724272022329,-50.94970534286847,-53.85133362711549,-50.786216851379976,-49.38440725938494,-51.66464753088399,-51.14105053791894,-51.85384229176728,-50.77532894965151,-50.12540995978031,-50.1921352343855,-49.94434983064104,-50.72432519327808,-53.756883596920176,-55.90400573599175,-54.880743995543966,-54.74022728666475,-53.48977512386114,-52.40090524383099,-51.349115303173704,-51.13204989193207,-51.768334158194484,-52.25214036882071,-53.53314871187002,-53.66932614819447,-53.90707106838059,-52.97196917314529,-52.346878603774094,-51.50941185560326,-52.836344973582726,-56.14400523628521,-54.79772353725926,-53.04686666679508,-53.92675101269049,-55.902698275843896,-54.999310638412794,-56.307901127998065,-57.400596290032425,-54.63531024205325,-53.826326268439864,-54.092609795130926,-52.921339225768534,-52.83135989483996,-54.01346961450005,-54.28402340633805,-54.683836245146836,-55.87538849544799,-56.13400591217526
Healthy,3,1,-53.64659368801181,-53.95517849654653,-54.320820749509195,-54.161250232921944,-53.22686148990954,-52.00679615929472,-53.84339011581755,-52.983709909492525,-51.96971542745149,-53.13035992627887,-55.555097562330175,-55.350445826430004,-56.007111740467494,-52.15836381069494,-52.26858235357936,-53.22360659670241,-53.27493276421106,-54.481708598911034,-55.705436014480306,-55.856895484126625,-54.42146461374495,-54.56055801565484,-55.9225584778647,-54.952471317331174,-55.14381762923193,-55.11150770550187,-55.12410930949326,-57.1313642994021,-55.91754958729175,-55.553164332488656,-53.41598333246687,-53.24264802614309,-54.58741316706406,-54.36885554661454,-55.443030338560895,-57.25260636596737,-56.90233804687619,-54.58001149340235,-55.10002640674266,-55.31930627386973,-53.85681543142903,-53.3272842456626,-53.714348125626515,-54.76717358143405,-54.667447821475704,-55.58611995117526,-55.68004324830221,-56.47910136410279,-58.66841010822934,-60.15604688645118,-61.29907256257695,-61.348694984464544
